Question,Réponse1,Réponse2,Réponse3,Réponse4,Thème,Difficulté,Temps,Points,Bonne Réponse,Malus
Qui a remporté la Coupe du Monde de football en 2018 ?, France, Brésil, Allemagne, Espagne,Sport,Normal,20,2,1,-1
Quel joueur de basketball est souvent surnommé King James ?, LeBron James, Michael Jordan, Kobe Bryant, Magic Johnson,Sport,Normal,20,2,1,-1
Quel pays a remporté le Tour de France en 2020 ?, Espagne, France, Slovénie, Colombie,Sport,Normal,20,2,3,-1
Qui est le recordman du monde du saut à la perche en athlétisme ?, Renaud Lavillenie, Armand Duplantis, Sergey Bubka, Thiago Braz,Sport,Normal,20,2,2,-1
Quelle est la durée réglementaire d'un match de tennis ?, 1 heure, 2 heures, 3 heures, Il n'y a pas de durée réglementaire fixe,Sport,Normal,20,2,4,-1
Quelle équipe de baseball a remporté le plus de Séries mondiales ?, New York Yankees, Los Angeles Dodgers, Boston Red Sox, San Francisco Giants,Sport,Normal,20,2,1,-1
Qui est le détenteur du record du monde du 100 mètres masculin en athlétisme ?, Justin Gatlin, Tyson Gay, Usain Bolt, Asafa Powell,Sport,Normal,20,2,3,-1
Dans quel pays se déroule le tournoi de tennis de Wimbledon ?, Royaume-Uni, France, États-Unis, Espagne,Sport,Normal,20,2,1,-1
Qui est le meilleur buteur de tous les temps en Ligue des champions de l'UEFA ?, Raúl González, Lionel Messi, Robert Lewandowski, Cristiano Ronaldo,Sport,Normal,20,2,4,-1
Quelle est la distance officielle d'un marathon ?, 40.200 kilomètres, 42.195 kilomètres, 43.650 kilomètres, 41.500 kilomètres,Sport,Normal,20,2,2,-1
Quel pays a remporté le plus de médailles d'or aux Jeux olympiques d'été de 2021 ?, États-Unis, Chine, Japon, Russie,Sport,Normal,20,2,1,-1
Quelle est la forme la plus courante de football américain ?, NFL, NCAA, Super Bowl, Pro Bowl,Sport,Normal,20,2,1,-1
Qui est le pilote de Formule 1 avec le plus de titres de champion du monde ?, Lewis Hamilton, Michael Schumacher, Sebastian Vettel, Ayrton Senna,Sport,Normal,20,2,1,-1
Quel joueur de tennis détient le record de la plus longue série de victoires consécutives en simple ?, Novak Djokovic, Rafael Nadal, Roger Federer, Björn Borg,Sport,Normal,20,2,4,-1
Quel pays a remporté le plus de médailles d'or aux Jeux olympiques de Rio 2016 ?, États-Unis, Chine, Royaume-Uni, Russie,Sport,Normal,20,2,1,-1
Quel golfeur professionnel est souvent appelé The Golden Bear ?, Jack Nicklaus, Tiger Woods, Phil Mickelson, Arnold Palmer,Sport,Normal,20,2,1,-1
Quelle équipe de football a remporté le plus de Coupes du Monde de la FIFA ?, Brésil, Allemagne, Italie, Argentine,Sport,Normal,20,2,1,-1
Quel joueur de basketball a marqué le plus de points en une seule partie de la NBA ?, Wilt Chamberlain, Kobe Bryant, Michael Jordan, LeBron James,Sport,Normal,20,2,1,-1
Quel pays a remporté la Coupe du Monde de rugby en 2019 ?, Afrique du Sud, Angleterre, Nouvelle-Zélande, Australie,Sport,Normal,20,2,1,-1
Quel nageur détient le record du monde du 100 mètres nage libre en natation ?, César Cielo, Alain Bernard, Florent Manaudou, Caeleb Dressel,Sport,Normal,20,2,1,-1
