Question,Réponse1,Réponse2,Réponse3,Réponse4,Thème,Difficulté,Temps,Points,Bonne Réponse,Malus
Qui a remporté la Coupe du Monde de football en 2018 ?, France, Brésil, Allemagne, Espagne,Sport,Normal,20,2,1,-1
Quel joueur de basketball est souvent surnommé King James ?, LeBron James, Michael Jordan, Kobe Bryant, Magic Johnson,Sport,Normal,20,2,1,-1
Quel pays a remporté le Tour de France en 2020 ?, Espagne, France, Slovénie, Colombie,Sport,Normal,20,2,3,-1
Qui est le recordman du monde du saut à la perche en athlétisme ?, Renaud Lavillenie, Armand Duplantis, Sergey Bubka, Thiago Braz,Sport,Normal,20,2,2,-1
Quelle est la durée réglementaire d'un match de tennis ?, 1 heure, 2 heures, 3 heures, Il n'y a pas de durée réglementaire fixe,Sport,Normal,20,2,4,-1
Quelle équipe de baseball a remporté le plus de Séries mondiales ?, New York Yankees, Los Angeles Dodgers, Boston Red Sox, San Francisco Giants,Sport,Normal,20,2,1,-1
Qui est le détenteur du record du monde du 100 mètres masculin en athlétisme ?, Justin Gatlin, Tyson Gay, Usain Bolt, Asafa Powell,Sport,Normal,20,2,3,-1
Dans quel pays se déroule le tournoi de tennis de Wimbledon ?, Royaume-Uni, France, États-Unis, Espagne,Sport,Normal,20,2,1,-1
Qui est le meilleur buteur de tous les temps en Ligue des champions de l'UEFA ?, Raúl González, Lionel Messi, Robert Lewandowski, Cristiano Ronaldo,Sport,Normal,20,2,4,-1
Quelle est la distance officielle d'un marathon ?, 40.200 kilomètres, 42.195 kilomètres, 43.650 kilomètres, 41.500 kilomètres,Sport,Normal,20,2,2,-1
Quel pays a remporté le plus de médailles d'or aux Jeux olympiques d'été de 2021 ?, États-Unis, Chine, Japon, Russie,Sport,Normal,20,2,1,-1
Quelle est la forme la plus courante de football américain ?, NFL, NCAA, Super Bowl, Pro Bowl,Sport,Normal,20,2,1,-1
Qui est le pilote de Formule 1 avec le plus de titres de champion du monde ?, Lewis Hamilton, Michael Schumacher, Sebastian Vettel, Ayrton Senna,Sport,Normal,20,2,1,-1
Quel joueur de tennis détient le record de la plus longue série de victoires consécutives en simple ?, Novak Djokovic, Rafael Nadal, Roger Federer, Björn Borg,Sport,Normal,20,2,4,-1
Quel pays a remporté le plus de médailles d'or aux Jeux olympiques de Rio 2016 ?, États-Unis, Chine, Royaume-Uni, Russie,Sport,Normal,20,2,1,-1
Quel golfeur professionnel est souvent appelé The Golden Bear ?, Jack Nicklaus, Tiger Woods, Phil Mickelson, Arnold Palmer,Sport,Normal,20,2,1,-1
Quelle équipe de football a remporté le plus de Coupes du Monde de la FIFA ?, Brésil, Allemagne, Italie, Argentine,Sport,Normal,20,2,1,-1
Quel joueur de basketball a marqué le plus de points en une seule partie de la NBA ?, Wilt Chamberlain, Kobe Bryant, Michael Jordan, LeBron James,Sport,Normal,20,2,1,-1
Quel pays a remporté la Coupe du Monde de rugby en 2019 ?, Afrique du Sud, Angleterre, Nouvelle-Zélande, Australie,Sport,Normal,20,2,1,-1
Quel nageur détient le record du monde du 100 mètres nage libre en natation ?, César Cielo, Alain Bernard, Florent Manaudou, Caeleb Dressel,Sport,Normal,20,2,1,-1
Quel est le plus grand pays du monde en termes de superficie ?,Russie, Chine, États-Unis, Canada,Géographie,Facile,20,2,1,-1
Quel est le plus long fleuve du monde ?, Nil, Amazone, Mississippi, Yangtsé,Géographie,Facile,20,2,1,-1
Quel est le pays le plus peuplé du monde ?, Chine, Inde, États-Unis, Brésil,Géographie,Facile,20,2,1,-1
Quelle est la capitale de l'Australie ?, Canberra, Sydney, Melbourne, Brisbane,Géographie,Facile,20,2,1,-1
Quel pays est situé à l'ouest de l'Allemagne ?, France, Pologne, Italie, Pays-Bas,Géographie,Facile,20,2,1,-1
Dans quel océan se trouve l'île de Madagascar ?, Océan Indien, Océan Pacifique, Océan Atlantique, Océan Arctique,Géographie,Facile,20,2,1,-1
Quelle est la plus grande chaîne de montagnes du monde ?, Himalaya, Alpes, Andes, Rocheuses,Géographie,Facile,20,2,1,-1
Quel est le pays le plus petit du monde en termes de superficie ?, Vatican, Monaco, Nauru, Saint-Marin,Géographie,Facile,20,2,1,-1
Quel désert est situé en Afrique du Nord ?, Sahara, Gobi, Atacama, Kalahari,Géographie,Facile,20,2,1,-1
Quel est le plus grand lac d'Amérique du Nord ?, Lac Supérieur, Lac Michigan, Lac Baïkal, Lac Titicaca,Géographie,Facile,20,2,1,-1
Quel acteur a interprété le rôle de Tony Stark / Iron Man dans le Marvel Cinematic Universe ?, Robert Downey Jr., Chris Evans, Chris Hemsworth, Mark Ruffalo,Cinéma,Facile,20,2,1,-1
Dans quel film Leonardo DiCaprio a-t-il remporté son premier Oscar du meilleur acteur ?, The Revenant, Titanic, Inception, The Wolf of Wall Street,Cinéma,Facile,20,2,1,-1
Quel réalisateur a dirigé la trilogie du Seigneur des Anneaux ?, Peter Jackson, Christopher Nolan, Steven Spielberg, Quentin Tarantino,Cinéma,Facile,20,2,1,-1
Qui a joué le personnage de Hermione Granger dans la série de films Harry Potter ?, Emma Watson, Emma Stone, Emma Roberts, Emma Thompson,Cinéma,Facile,20,2,1,-1
Quel est le film d'animation qui met en scène des jouets qui prennent vie lorsque les humains ne sont pas là ?, Toy Story, Le Roi Lion, La Reine des Neiges, Shrek,Cinéma,Facile,20,2,1,-1
Quelle actrice a interprété le rôle de Katniss Everdeen dans la série de films Hunger Games ?, Jennifer Lawrence, Emma Stone, Scarlett Johansson, Anne Hathaway,Cinéma,Facile,20,2,1,-1
Quel est le film de science-fiction réalisé par Ridley Scott où l'équipage d'un vaisseau spatial rencontre des extraterrestres hostiles ?, Alien, Blade Runner, Interstellar, The Matrix,Cinéma,Facile,20,2,1,-1
Quel acteur a joué le rôle de Jack Sparrow dans la série de films Pirates des Caraïbes ?, Johnny Depp, Tom Cruise, Brad Pitt, Will Smith,Cinéma,Facile,20,2,1,-1
Quel est le film qui raconte l'histoire d'un naufragé solitaire sur une île déserte avec pour seul compagnon un ballon de volley nommé Wilson ?, Les naufragés, Life of Pi, The Beach, Cast Away,Cinéma,Facile,20,2,4,-1
Quel est le réalisateur du film Inception sorti en 2010 ?, Christopher Nolan, Martin Scorsese, Quentin Tarantino, Steven Spielberg,Cinéma,Facile,20,2,1,-1
Quel réalisateur a remporté le plus grand nombre d'Oscars du meilleur réalisateur dans l'histoire du cinéma ?, Steven Spielberg, John Ford, Alfred Hitchcock, Francis Ford Coppola,Cinéma,Difficile,20,2,2,-1
Quel film a détenu le record du plus gros budget de production de tous les temps ?, Pirates des Caraïbes : La Fontaine de jouvence, Avengers: Endgame, Avatar, Star Wars: Le Réveil de la Force,Cinéma,Difficile,20,2,2,-1
