Utilisateur,Thèmes,Difficulte,Nombre Question,Score 
theo,[Sport],Normal,1,2
theoa,[Sport],Normal,2,4
theo,[Sport],Normal,1,0
theo,[Sport],Normal,4,6
theoa,[Sport],Normal,2,0
theo,[Sport],Normal,5,1
theo,[Sport],Normal,4,2
theo,[Sport],Normal,4,0
theo,[Sport],Normal,1,2
theo,[Sport],Normal,2,4
theo,[Sport, Musique, Géographie, Cinéma],Normal,3,4
theo,[Sport],Normal,3,2
theo,[Sport],Normal,5,0
theo,[Sport],Normal,4,5
theo,[Sport],Normal,4,3
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
auguste,[Sport],Normal,5,10
auguste,[Sport],Normal,5,7
theo,[Sport],Normal,1,2
theo,[Sport],Normal,1,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,2,2
theo,[Sport],Normal,2,2
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport, Musique],Normal,4,0
theo,[Sport, Musique],Normal,2,1
theo,[Sport, Musique, Géographie],Normal,1,2
theo,[Sport],Normal,2,0
theo,[Sport],Normal,2,0
theo,[Sport],Normal,2,0
theo,[Sport],Normal,2,4
theo,[Sport],Normal,2,0
theo,[Sport],Normal,2,0
theo,[Sport],Normal,2,1
theo,[Sport; Musique],Normal,1,2
theo,[Sport],Normal,2,2
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,1
theo,[Sport],Normal,3,0
theo,[Sport],Normal,3,2
theo,[Sport],Normal,3,4
theo,[Sport],Normal,2,4
theo,[Sport],Normal,2,4
theo,[Sport],Normal,3,4
theo,[Sport],Normal,3,3
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,45
theo,[Sport],Normal,3,3
theo,[Sport; Musique],Normal,2,2
theo,[Sport],Normal,4,1
theo,[Sport],Normal,3,0
theo,[Sport],Normal,1,2
theo,[Sport],Normal,4,0
theo,[Sport],Normal,4,0
theo,[Sport],Normal,3,2
theo,[Sport],Normal,3,0
theo,[Sport],Normal,10,5
theo,[Sport],Normal,10,7
theo,[Sport],Normal,1,2
theo,[Sport],Normal,1,2
theoa,[Sport],Normal,3,6
theoa,[Sport],Normal,3,0
theo,[Sport; Cinéma],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,1,0
theo,[Sport],Normal,3,0
theo,[Sport],Normal,5,7
theo,[Sport],Normal,5,4
theo,[Sport],Normal,5,6
theo,[Sport],Normal,5,8
theo,[Sport],Normal,5,7
theo,[Sport],Normal,5,9
theo,[Sport],Normal,5,11
theo,[Sport],Normal,5,13
theo,[Sport],Normal,5,15
theo,[Sport],Normal,5,17
theo,[Sport],Normal,5,19
theo,[Sport],Normal,5,21
theo,[Sport],Normal,5,20
theo,[Sport],Normal,5,19
theo,[Sport],Normal,5,18
theo,[Sport],Normal,5,20
theo,[Sport],Normal,5,22
theo,[Sport],Normal,5,24
theo,[Sport],Normal,5,23
theo,[Sport],Normal,5,22
theo,[Sport],Normal,5,21
theo,[Sport],Normal,5,20
theo,[Sport],Normal,5,19
theo,[Sport],Normal,5,18
theo,[Sport],Normal,5,20
theo,[Sport],Normal,5,22
theo,[Sport],Normal,5,24
theo,[Sport],Normal,5,23
theo,[Sport],Normal,5,22
theo,[Sport],Normal,5,21
theo,[Sport],Normal,5,20
theo,[Sport],Normal,5,19
theo,[Sport],Normal,5,18
theo,[Sport],Normal,5,2
theo,[Sport],Normal,2,2
theo,[Sport],Normal,2,4
theo,[Sport],Normal,2,6
theo,[Sport],Normal,2,8
theo,[Sport],Normal,2,10
theo,[Sport],Normal,2,12
theo,[Sport],Normal,2,11
theo,[Sport],Normal,2,10
theo,[Sport],Normal,2,9
theo,[Sport],Normal,2,0
theo,[Sport; Cinéma],Normal,4,0
